Experiment,Individual,Treatment,DOL,RepDay,Date,Lifestage,Tray,Replicate,Weight_mg,DOL2
R1,24,Control,9,5,27/10/2021,larva,1,25,94.6,9DOL
R3,74,Large,9,5,29/06/2022,larva,13,25,94.6,9DOL
R1,6,Large,7,3,25/10/2021,larva,4,16,94.6,7DOL
R2,6,Large,14,10,08/02/2022,larva,8,50,94.56,14DOL
R2,8,Control,11,7,05/02/2022,larva,7,28,94.56,11DOL
R3,19,Control,19,15,05/07/2022,larva,9,71,94.5,19DOL
R3,21,Control,10,6,26/06/2022,larva,11,28,94.5,10DOL
R2,23,Large,12,8,06/02/2022,larva,8,37,94.43,12DOL
R1,11,Control,10,6,28/10/2021,larva,1,31,94.4,10DOL
R1,9,Control,10,6,28/10/2021,larva,2,32,94.4,10DOL
R1,12,Large,10,6,28/10/2021,larva,5,35,94.4,10DOL
R3,41,Large,9,5,29/06/2022,larva,13,25,94.4,9DOL
R1,22,Large,8,4,26/10/2021,larva,5,23,94.3,8DOL
R2,8,Large,7,3,01/02/2022,larva,8,8,94.28,7DOL
R2,18,Control,7,3,01/02/2022,larva,7,5,94.2,7DOL
R1,24,Control,10,6,28/10/2021,larva,1,31,94.1,10DOL
R2,1,Control,17,13,11/02/2022,larva,7,66,94.01,17DOL
R3,23,Control,10,6,26/06/2022,larva,12,29,94,10DOL
R1,14,Large,9,5,27/10/2021,larva,4,28,94,9DOL
R3,7,Control,9,5,25/06/2022,larva,10,22,94,9DOL
R2,2,Control,16,12,10/02/2022,larva,7,59,93.98,16DOL
R3,9,Control,18,14,04/07/2022,larva,9,66,93.9,18DOL
R1,4,Control,11,7,29/10/2021,larva,3,39,93.9,11DOL
R3,18,Control,11,7,27/06/2022,larva,10,32,93.9,11DOL
R3,20,Control,10,6,26/06/2022,larva,9,26,93.8,10DOL
R3,33,Large,19,15,09/07/2022,larva,13,75,93.6,19DOL
R2,17,Control,11,7,05/02/2022,larva,7,28,93.6,11DOL
R3,24,Control,11,7,27/06/2022,larva,10,32,93.6,11DOL
R1,8,Large,6,2,24/10/2021,larva,4,10,93.6,6DOL
R2,9,Control,10,6,04/02/2022,larva,7,22,93.55,10DOL
R3,10,Control,11,7,27/06/2022,larva,12,34,93.5,11DOL
R2,6,Control,9,5,03/02/2022,larva,7,17,93.45,9DOL
R2,10,Control,13,9,07/02/2022,larva,7,40,93.44,13DOL
R3,99,Large,9,5,29/06/2022,larva,13,25,93.4,9DOL
R3,17,Control,11,7,27/06/2022,larva,10,32,93.3,11DOL
R3,20,Control,10,6,26/06/2022,larva,11,28,93.3,10DOL
R3,16,Control,10,6,26/06/2022,larva,9,26,93.2,10DOL
R3,16,Control,8,4,24/06/2022,larva,11,18,93.2,8DOL
R2,10,Control,17,13,11/02/2022,larva,7,65,93.18,17DOL
R2,4,Large,12,8,06/02/2022,larva,8,39,93.15,12DOL
R3,7,Control,14,10,30/07/2022,larva,10,47,93.1,14DOL
R3,8,Control,9,5,25/06/2022,larva,10,22,93.1,9DOL
R3,22,Control,10,6,26/06/2022,larva,12,29,93,10DOL
R2,17,Control,20,16,14/02/2022,larva,7,82,92.88,20DOL
R2,3,Large,11,7,05/02/2022,larva,8,33,92.83,11DOL
R2,23,Control,17,13,11/02/2022,larva,7,66,92.8,17DOL
R1,9,Control,11,7,29/10/2021,larva,2,38,92.8,11DOL
R2,10,Control,9,5,03/02/2022,larva,7,18,92.76,9DOL
R2,16,Control,11,7,05/02/2022,larva,7,28,92.75,11DOL
R2,16,Large,8,4,02/02/2022,larva,8,15,92.66,8DOL
R3,3,Control,20,16,06/07/2022,larva,11,78,92.6,20DOL
R3,24,Control,10,6,26/06/2022,larva,10,27,92.6,10DOL
R2,7,Control,9,5,03/02/2022,larva,7,17,92.55,9DOL
R3,6,Control,12,8,28/06/2022,larva,9,36,92.5,12DOL
R3,3,Control,11,7,27/06/2022,larva,12,34,92.5,11DOL
R3,13,Control,8,4,24/06/2022,larva,9,16,92.5,8DOL
R2,13,Large,12,8,06/02/2022,larva,8,37,92.44,12DOL
R2,10,Control,8,4,02/02/2022,larva,7,12,92.44,8DOL
R2,18,Control,10,6,04/02/2022,larva,7,22,92.34,10DOL
R2,16,Large,14,10,08/02/2022,larva,8,51,92.3,14DOL
R2,1,Large,9,5,03/02/2022,larva,8,21,92.28,9DOL
R3,16,Control,11,7,27/06/2022,larva,9,31,92.1,11DOL
R1,17,Control,9,5,27/10/2021,larva,3,27,92.1,9DOL
R2,12,Control,12,8,06/02/2022,larva,7,36,92.04,12DOL
R1,2,Control,10,6,28/10/2021,larva,3,33,91.9,10DOL
R2,21,Large,13,9,07/02/2022,larva,8,43,91.86,13DOL
R3,5,Control,10,6,26/06/2022,larva,9,26,91.8,10DOL
R2,24,Large,12,8,06/02/2022,larva,8,38,91.73,12DOL
R2,21,Control,14,10,08/02/2022,larva,7,47,91.72,14DOL
R2,24,Control,11,7,05/02/2022,larva,7,30,91.62,11DOL
R1,25,Large,10,6,28/10/2021,larva,4,34,91.6,10DOL
R3,9,Control,10,6,26/06/2022,larva,11,28,91.6,10DOL
R3,2,Control,10,6,26/06/2022,larva,12,29,91.6,10DOL
R3,1,Control,9,5,25/06/2022,larva,11,23,91.6,9DOL
R3,1,Control,10,6,26/06/2022,larva,9,26,91.5,10DOL
